brand,name,form,ownership,rating,bottle_candidate,comment,source,top_notes,middle_notes,base_notes,main_accords,matched,dataset_idx
Acqua di Parma,Yuzu,EdT,Decant,7.0,False,Nice dark and unsweet citrus on top of classic Acqua di Parma Colonia DNA.,html_import,"Yuzu, Calabrian Bergamot And Sichuan Pepper","Lotus, Mimosa, Violet Leaf And Jasmine","Musk, Sandalwood And Licorice","citrus, floral, fresh spicy, green, ozonic",True,30520.0
Diptyque,Tam Dao,EdP,Decant,7.0,False,Contemplative sandalwood with woody-spicy character; spiciness builds over time causing uneasiness/discomfort.,html_import,,,,"woody, powdery, warm spicy, aromatic",True,29354.0
Diptyque,Tam Dao,EdT,Decant,7.0,False,"Airy aromatic sandalwood; subtle floral/incense, calming, comforting wafts.",html_import,"Italian Cypress, Myrtle And Rose",Sandalwood And Cedar,"Brazilian Rosewood, Spices, Amber And White Musk","woody, aromatic, powdery, warm spicy",True,29373.0
Jo Malone,Dark Amber & Ginger Lily,Cologne Intense,Decant,7.0,False,"Soft, floral, comforting, slightly feminine; soothing home scent, pleasant but not capsule-worthy.",html_import,"Ginger, Black Cardamom And Pink Pepper","Water Lily, Orchid, Jasmine And Rose","Sandalwood, Black Amber, Kyara Incense, Patchouli And Leather","warm spicy, woody, amber, floral, fresh",True,32490.0
Jo Malone,Hinoki & Cedarwood,Cologne Intense,Decant,7.0,False,Fresh meditative woody with balsamic opening to gentle cedarwood. More wearable than other meditative woods; offers comfort and subtle clarity.,html_import,,,,,False,
Le Labo,Santal 33,EdP,Decant,7.0,False,"Modern woody with sandalwood, cedar, Ambroxan warmth; urban elegance, subtle sexiness. Linear, diffusive woody-musky for cooler weather/nights. Stylish but not capsule-worthy.",html_import,,,,"woody, powdery, leather, warm spicy, violet",True,33548.0
Le Labo,Thé Noir 29,EdP,Decant,7.0,False,"Clean jasmine-tea/floral; light, pleasant, understated but enjoyable.",html_import,"Fig, Bay Leaf, Bergamot","Cedar, Vetiver, Musk","Tobacco, Hay","woody, fresh spicy, sweet, aromatic, fruity",True,19500.0
Marc-Antoine Barrois,B683,EdP,Decant,7.0,False,"Spicy, smoky leather, settles to woody amber-musk; warm, cozy, intimate—enjoyable for cool nights/mood.",html_import,"Saffron, Black Pepper, Nutmeg, Red Chilli Pepper","Violet Leaf, Musk, Labdanum, Amber","Ambroxan, Patchouli, Sandalwood, Oakmoss","warm spicy, amber, fresh spicy, musky, woody",True,13387.0
Nishane,Safran Colognise,Extrait de Cologne,Decant,7.0,False,"Pleasant woody-leather with strong saffron hit; citrus fades fast to a sharp, warm heart and dry woody-leather base.",html_import,"Pink Grapefruit, Citron, Passionfruit","Saffron, Pink Pepper, Magnolia","Leather, Ambergris, Musk","citrus, leather, warm spicy, animalic, metallic",True,22678.0
Santa Maria Novella,Alba di Seoul,EdC,Decant,7.0,False,"Gentle meditative with soft citrus to quiet floral heart and light woods. Feminine-leaning, peaceful, solid longevity but introspective personality. Pleasant mood scent, not capsule material.",html_import,Green Notes,Pine Tree,Woody Notes And Oriental Notes,"woody, green, aromatic, warm spicy, amber",True,75699.0
Amouage,Memoir Man,EdP,Decant,6.5,False,"Dark green, minty-liquorice, smoky incense; meditative, complex, quiet, not personally engaging.",html_import,"Wormwood, Mint, Basil","Incense, Lavender, Rose","Tobacco, Leather, Sandalwood, Guaiac Wood, Vetiver, Oak Moss, Amber, Vanille, Musk","aromatic, fresh spicy, woody, amber, green",True,21368.0
Bullfrog,Elisir 1 Deadly Nightshade,EdP,Full Bottle,6.5,False,"Sweet barbershop scent, busy blend; lost interest after niche experience.",html_import,,,,,False,
Bullfrog,Elisir 3 Dark Honey,EdP,Decant,6.5,False,"Smoked honey, soft leather; sweet yet airy, not bottle-worthy.",html_import,,,,,False,
Bullfrog,Elements Fire,EdP,Decant,6.5,False,"Sparkling ""oransoda"" citrus, soapy-clean drydown; summery energy, enjoyable.",html_import,,,,,False,
Bullfrog,Secret Potion No. 3,EdP,Decant,6.5,False,"Fresh, slightly acidic and linear; masculine, metallic/leathery. Aromatic wood skin scent at base.",html_import,,,,,False,
Byredo,Gypsy Water,EdP,Decant,6.5,False,"Fresh lemon opening, airy vanilla; subtly feminine, weak projection—pleasant skin scent.",html_import,"Juniper, Lemon, Bergamot, Pepper","Pine Needles, Incense, Orris Root","Vanilla, Sandalwood, Amber","woody, aromatic, fresh spicy, citrus, powdery",True,12244.0
Byredo,Mojave Ghost,EdP,Decant,6.5,False,"Bold pear opening, creamy floral/woody fade; elegant, muted, cozy.",html_import,Sapodilla And Ambrette (Musk Mallow),"Magnolia, Violet And Sandalwood",Ambergris And Cedar,"floral, woody, powdery, violet, fruity",True,27239.0
Dior,Sauvage Elixir,(Decant),,6.5,False,"Powerful sweet-spicy lavender/amber, very linear; sexy, headache-prone, use sparingly.",html_import,,,,,False,
Xerjoff,Nio,EdP,Decant,6.5,False,"Fresh, green, sharp citrus with quirky opening that fades; uplifting and energizing but less elegant than alternatives.",html_import,,,,,False,
Aesop,Hwyl,EdP,Decant,6.0,False,"Potent meditative dark woods, incense, and resins—SPA-like ambiance. Overwhelming for personal wear; better suited as home fragrance.",html_import,"Spices, Thyme","Cypress, Woody Notes","Vetiver, Olibanum, Oakmoss","woody, aromatic, fresh spicy, earthy, amber",True,18797.0
Bullfrog,Elements Earth,EdP,Decant,6.0,False,"Green/musky to milky/soapy; comforting, not bottle material.",html_import,,,,,False,
Bullfrog,Elements Water,EdP,Decant,6.0,False,"Fresh green/fruit, light woods; aftershave vibe, very easy, low projection.",html_import,,,,,False,
Bullfrog,Secret Potion No. 1,EdP,Decant,6.0,False,"Smoky incense, sweet church vibe; hints of citrus, tobacco, leather—wearable, not favorite.",html_import,,,,,False,
Bullfrog,Secret Potion No. 2,EdP,Decant,6.0,False,"Green-pepper opening, sweet/spiced blur; aimless, not bottle-worthy.",html_import,,,,,False,
Hermès,Terre d'Hermès Eau Intense Vétiver,EdP,Decant,6.0,False,"Grassy/citrus fresh, linear; easy for warm seasons, lacks woody mystery.",html_import,"Bergamot, Grapefruit, Lemon","Sichuan Pepper, Geranium","Vetiver, Olibanum, Patchouli, Amberwood","citrus, aromatic, fresh spicy, woody, earthy",True,16154.0
Lalique,Encre Noire,EdT,Decant,6.0,False,"Dark, earthy forest floor, balsamic; unique but emotionally unengaging, not sought after.",html_import,Cypress,Vetiver,"Cashmere Wood, Musk","woody, aromatic, earthy, musky",True,18962.0
Parfums de Marly,Herod,EdP,Decant,6.0,False,Rich vanilla-dominated winter scent overshadowing tobacco/spice; elegant but too sweet/heavy.,html_import,Cinnamon And Pepperwood™,"Tobacco Leaf, Incense, Osmanthus And Labdanum","Vanilla, Iso E Super, Cedar, Musk, Cypriol Oil Or Nagarmotha And Vetiver","tobacco, vanilla, warm spicy, cinnamon, sweet",True,36576.0
Prada,L'Homme Intense,EdP,Decant,6.0,False,"Clean, powdery iris/leather; versatile, linear, but lifeless.",html_import,Iris,"Amber, Patchouli","Tonka Bean, Leather, Sandalwood","iris, powdery, amber, woody, earthy",True,23655.0
Bullfrog,Elements Air,EdP,Decant,5.5,False,"Very green/watery-fig; generic, soft floral, easy.",html_import,,,,,False,
Byredo,Black Saffron,EdP,Decant,5.5,False,"Soft, well-blended, inoffensive; easy to wear but lacks distinctiveness and emotional impact. Safe but forgettable.",html_import,"Saffron, Juniper Berries, Chinese Grapefruit","Leather, Black Violet","Raspberry, Cashmeran, Vetiver","leather, fruity, woody, aromatic, warm spicy",True,10456.0
Parfums de Marly,Layton,EdP,Decant,5.5,False,"Creamy-fruity syrupy opening, sweet/spiced woods; cloying/risky, good development, use light sprays.",html_import,"Apple, Lavender, Bergamot, Mandarin Orange","Geranium, Violet, Jasmine","Vanilla, Cardamom, Sandalwood, Pepper, Guaiac Wood, Patchouli","warm spicy, vanilla, fresh spicy, woody, aromatic",True,23363.0
Frederic Malle,Portrait of a Lady,EdP,Decant,4.5,False,"Dominant rose/patchouli, dusty ""old wardrobe"" vibe; linear, elegant, but dated for you.",html_import,"Rose, Clove, Raspberry, Black Currant, Cinnamon","Patchouli, Incense, Sandalwood","Musk, Benzoin, Amber","warm spicy, amber, rose, woody, patchouli",True,15439.0
Tom Ford,Oud Wood Intense,EdP,Decant,4.5,False,"Highly animalic, musky, petroleum-liquorish; very different from Oud Wood EdP—borderline unpleasant, not wearable for you.",html_import,,,,"woody, aromatic, leather, fresh spicy, oud",True,38200.0
